Rank,Team Conference,Record,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Luck,Luck_Rank,SOS_AdjEM,SOS_AdjEM_Rank,OppO,OppO_Rank,OppD,OppD_Rank,NCSOS_AdjEM,NCSOS_AdjEM_Rank,Year
186,186,Drexel,CAA,18-15,-2.06,104.0,223,106.0,154,63.0,355,-.052,312,-4.59,283,105.4,240,109.9,323,-5.24,316
187,Montana St.,BSky,15-18,-2.16,105.2,210,107.4,191,65.9,263,-.063,325,-2.08,196,106.0,199,108.1,212,+4.81,57
188,188,Rice,Amer,13-19,-2.17,106.4,186,108.5,211,65.3,286,-.084,347,-2.05,194,105.4,238,107.4,174,-7.87,346
189,189,Wyoming,MWC,12-20,-2.28,103.4,234,105.7,151,64.6,316,-.027,257,+4.72,93,109.4,89,104.6,99,-3.01,266
190,190,UTSA,Amer,12-19,-2.36,107.3,163,109.6,234,69.9,55,-.051,311,+1.49,118,107.5,124,106.0,128,+1.48,128
191,South Carolina,St.,MEAC,20-13,-2.39,102.6,247,105.0,135,69.2,70,-.050,309,-8.57,353,102.7,323,111.3,361,+0.39,157
192,Miami FL,ACC,7-24,-2.46,113.5,70,116.0,340,67.5,166,-.130,362,+7.70,70,110.0,80,102.3,61,-2.36,244
193,Southern Illinois,MVC,14-19,-2.67,105.7,204,108.3,208,67.9,138,-.025,252,+1.28,122,108.4,104,107.1,159,+2.46,105
194,Southeastern Louisiana,Slnd,18-14,-2.71,104.7,213,107.4,189,67.0,201,+.011,149,-3.82,265,104.6,273,108.4,228,-0.48,190
195,Texas St.,SB,16-16,-2.73,109.6,122,112.3,285,65.9,255,-.041,284,-2.58,219,104.4,281,107.0,158,-0.43,189
196,South Florida,Amer,13-19,-2.77,103.5,232,106.3,166,68.3,119,-.047,295,+0.44,140,108.2,108,107.7,194,-5.44,324
197,197,Ohio,MAC,16-16,-2.77,106.3,190,109.0,222,70.3,42,-.064,326,-3.39,248,106.3,189,109.7,307,-1.40,219
198,Central Michigan,MAC,14-17,-2.78,105.5,205,108.3,204,67.2,188,-.091,351,-2.01,190,106.4,185,108.4,221,+11.65,11
199,199,Elon,CAA,17-15,-2.97,107.4,156,110.4,251,65.1,294,-.026,255,-3.41,252,105.0,256,108.5,230,-0.50,191
200,UNC Asheville,BSth,21-11,-3.03,109.0,134,112.1,279,68.2,126,+.123,7,-3.23,243,106.5,177,109.7,311,-0.54,192
201,Indiana St.,MVC,14-18,-3.15,109.1,129,112.3,282,72.2,9,-.044,291,+0.01,150,106.5,175,106.5,143,-4.00,288
202,Youngstown St.,Horz,21-13,-3.19,102.2,252,105.4,143,69.2,69,+.058,56,-4.72,285,105.2,247,109.9,321,-5.92,330
203,Southeast Missouri,OVC,21-12,-3.24,101.9,256,105.2,139,68.9,87,+.023,122,-7.35,328,101.8,338,109.2,270,+3.85,73
204,204,Queens,ASun,19-14,-3.32,106.3,189,109.6,233,68.4,112,+.052,68,-3.51,255,105.7,218,109.2,274,+0.68,148
205,205,Dartmouth,Ivy,14-14,-3.34,100.2,294,103.5,105,71.0,24,-.057,318,-3.88,269,106.0,200,109.9,319,-6.55,338
206,Seton Hall,BE,7-25,-3.40,98.7,315,102.1,88,64.5,322,-.042,289,+10.01,57,112.2,53,102.1,56,-2.87,259
207,Portland St.,BSky,19-13,-3.56,100.5,288,104.1,118,68.5,110,+.015,139,-4.61,284,105.8,216,110.4,344,-1.27,216
208,208,Brown,Ivy,14-13,-3.69,103.1,236,106.8,176,65.8,264,+.022,123,-3.72,262,105.7,221,109.4,289,-5.60,327
209,209,Northeastern,CAA,17-15,-3.72,103.6,230,107.4,188,67.3,176,+.019,127,-4.06,274,104.0,291,108.1,206,-3.65,281
210,210,Valparaiso,MVC,15-19,-3.76,105.9,197,109.7,236,68.0,132,-.001,182,+0.24,144,106.6,170,106.3,141,-4.20,297
211,211,Longwood,BSth,18-14,-3.81,106.0,195,109.8,239,69.0,79,+.002,173,-4.02,272,106.3,188,110.3,339,-4.13,294
212,Idaho St.,BSky,15-15,-3.90,105.9,199,109.8,238,66.0,248,-.059,320,-3.83,266,105.5,234,109.3,283,+2.06,114
213,213,Quinnipiac,MAAC,20-13,-3.96,102.1,253,106.0,155,71.6,13,+.031,99,-6.84,314,102.1,331,108.9,249,-0.21,182
214,214,Hampton,CAA,17-16,-4.15,103.7,227,107.9,198,65.6,275,-.003,189,-2.56,216,106.4,184,108.9,253,+0.11,166
215,215,Pepperdine,WCC,13-22,-4.25,106.4,185,110.6,255,69.1,75,-.022,245,+2.87,101,108.1,110,105.2,110,-4.20,298
216,SIUE,OVC,22-11,-4.25,102.0,255,106.2,160,65.9,261,+.052,67,-9.01,357,101.4,349,110.4,345,-3.37,276
217,217,Massachusetts,A10,12-20,-4.40,102.2,250,106.6,170,70.3,44,-.050,305,+0.65,137,106.0,201,105.4,114,-3.59,280
218,218,Hofstra,CAA,15-18,-4.45,98.0,325,102.4,92,63.6,348,-.047,296,-3.10,239,105.0,257,108.1,211,+1.98,118
219,Abilene Christian,WAC,16-16,-4.45,97.7,329,102.1,87,69.4,67,+.036,86,-1.19,171,104.4,284,105.6,119,+0.97,140
220,220,Maine,AE,20-14,-4.49,100.1,295,104.6,125,65.9,254,+.004,168,-7.09,321,103.5,298,110.6,352,-3.85,284
221,221,Campbell,CAA,15-17,-4.52,101.6,268,106.2,156,65.9,262,-.058,319,-4.19,277,105.1,251,109.3,279,-4.19,296
222,Wright St.,Horz,15-18,-4.56,109.6,120,114.1,315,67.5,169,-.060,321,-3.24,244,106.1,198,109.3,280,+0.72,146
223,La Salle,A10,14-19,-4.90,103.7,229,108.6,212,68.6,105,+.046,74,+1.97,112,107.3,138,105.3,112,-1.37,218
224,UT Arlington,WAC,13-18,-4.96,107.4,159,112.3,286,67.6,161,-.035,272,-1.33,177,104.0,290,105.4,113,-0.14,178
225,Little Rock,OVC,19-14,-4.99,99.2,306,104.2,120,66.9,202,+.021,124,-7.69,337,101.8,340,109.5,292,+2.28,108
226,226,Hawaii,BW,15-16,-5.05,103.0,238,108.0,201,65.9,260,+.025,116,-1.21,173,105.9,212,107.1,160,-2.38,245
227,227,Bucknell,PL,18-15,-5.08,102.6,246,107.7,194,67.3,181,+.009,154,-7.55,334,103.0,310,110.6,351,+0.37,159
228,Northwestern St.,Slnd,16-16,-5.19,102.7,245,107.9,197,64.0,336,+.079,30,-0.22,158,106.2,192,106.4,142,+11.62,12
229,William &,Mary,CAA,17-15,-5.29,107.3,160,112.6,296,71.3,19,+.048,71,-2.77,228,105.4,239,108.1,213,-1.18,213
230,230,Presbyterian,BSth,14-18,-5.36,104.5,215,109.9,240,64.2,331,-.036,273,-2.51,212,107.0,149,109.6,300,-0.74,199
231,231,Fordham,A10,12-21,-5.55,106.3,188,111.9,278,69.5,65,-.003,187,+1.47,119,106.4,179,105.0,100,-3.26,274
232,232,Delaware,CAA,16-20,-5.57,109.4,124,114.9,323,70.4,41,-.017,225,-2.94,232,104.7,270,107.6,184,-1.49,221
233,Northern Kentucky,Horz,17-16,-5.62,102.7,244,108.3,206,66.1,242,+.041,79,-2.76,227,106.0,202,108.8,241,+3.38,84
234,234,Southern,SWAC,20-12,-5.68,99.0,310,104.7,128,68.5,108,+.053,65,-7.97,342,101.5,348,109.4,291,+11.35,13
235,235,Toledo,MAC,18-15,-5.75,112.2,86,118.0,356,68.0,135,+.117,11,-1.90,187,106.2,194,108.1,209,+3.84,74
236,236,Manhattan,MAAC,17-13,-5.81,108.5,142,114.3,317,67.5,164,+.006,160,-8.49,350,101.2,353,109.7,306,-5.93,331
237,Kansas City,Sum,13-20,-5.95,100.4,290,106.3,165,64.5,321,-.108,358,-2.51,211,107.9,113,110.4,346,+0.49,152
238,Mount St. Mary's,MAAC,23-12,-6.03,101.1,279,107.1,183,67.5,165,+.147,2,-7.16,323,102.0,333,109.1,267,-1.16,211
239,UT Rio Grande,Valley,Slnd,16-15,-6.14,104.8,211,110.9,261,70.4,35,+.007,156,-3.47,253,104.2,287,107.7,192,-0.38,187
240,South Dakota,Sum,19-14,-6.16,109.3,126,115.4,333,74.6,2,+.101,16,-3.34,246,107.0,152,110.3,340,-4.02,289
241,241,Richmond,A10,10-22,-6.22,103.0,239,109.2,227,63.8,345,-.026,253,+2.34,109,107.6,118,105.3,111,-2.82,255
242,242,Vermont,AE,21-12,-6.26,99.2,305,105.5,146,62.4,358,+.118,9,-7.08,320,103.0,307,110.1,332,-0.88,203
243,Missouri St.,MVC,9-23,-6.36,101.1,280,107.4,192,63.8,339,-.104,357,+0.90,133,108.6,97,107.7,193,-0.01,172
244,UMass Lowell,AE,17-15,-6.36,108.6,140,115.0,324,68.6,104,-.021,242,-7.45,331,101.1,354,108.6,234,-3.89,286
245,Cal St.,Bakersfield,BW,14-19,-6.37,106.2,191,112.6,294,66.0,246,-.020,237,-1.05,167,105.9,213,106.9,156,-2.19,239
246,Incarnate Word,Slnd,17-16,-6.51,106.1,193,112.6,295,64.2,330,-.018,229,-5.36,295,103.0,308,108.4,224,-5.14,312
247,Northern Arizona,BSky,18-15,-6.58,104.2,219,110.8,259,66.9,206,+.004,167,-5.42,296,105.1,253,110.5,349,-4.83,308
248,Jackson St.,SWAC,16-18,-6.59,100.3,291,106.9,179,68.3,115,+.021,125,-4.78,288,103.6,297,108.4,223,+16.37,3
249,American,PL,22-13,-6.69,102.4,248,109.1,223,63.6,349,+.123,6,-7.16,324,103.1,305,110.3,337,+1.59,125
250,Georgia Southern,SB,17-16,-6.80,102.8,243,109.6,232,69.4,66,+.064,45,-4.77,286,104.7,271,109.4,290,-2.97,263
251,UC Davis,BW,15-17,-6.83,97.0,335,103.8,110,67.0,200,+.070,39,+0.15,146,107.4,132,107.3,168,+1.91,119
252,Tennessee St.,OVC,17-16,-7.25,102.3,249,109.5,230,70.4,40,-.068,329,-8.45,349,100.9,358,109.4,287,-0.29,184
253,253,FIU,CUSA,10-23,-7.32,96.7,337,104.0,114,68.4,114,-.050,306,+0.45,139,107.2,142,106.7,149,-6.34,335
254,254,Siena,MAAC,14-18,-7.39,102.8,241,110.2,246,67.2,184,-.067,327,-6.76,313,102.9,318,109.6,303,-1.06,206
255,255,Charlotte,Amer,11-22,-7.74,104.5,216,112.3,284,64.8,306,-.009,205,-0.20,157,107.4,133,107.6,185,-4.14,295
256,256,Harvard,Ivy,12-15,-7.76,101.2,277,108.9,220,65.5,276,+.054,62,-2.41,208,105.5,230,107.9,200,-3.09,270
257,257,Iona,MAAC,17-17,-7.81,98.7,316,106.5,168,68.1,129,+.014,141,-7.12,322,102.7,321,109.8,316,-2.87,261
258,258,Evansville,MVC,11-21,-7.94,98.3,320,106.2,162,66.9,209,-.021,244,+1.06,126,108.2,109,107.1,162,+0.53,150
259,Fresno St.,MWC,6-26,-7.96,100.7,284,108.7,213,70.6,33,-.008,200,+5.65,85,109.7,84,104.0,85,-2.21,240
260,North Florida,ASun,15-17,-7.97,109.6,119,117.5,350,72.2,10,+.049,69,-2.44,209,106.4,186,108.8,242,+6.85,42
261,Georgia St.,SB,14-19,-7.99,106.6,179,114.5,320,68.9,84,+.013,142,-3.11,240,105.2,248,108.3,218,-1.61,228
262,Sacred Heart,MAAC,15-18,-7.99,104.8,212,112.7,302,70.2,47,-.049,300,-7.44,330,101.9,335,109.3,284,-2.87,258
263,263,Mercer,SC,14-19,-8.05,99.2,304,107.3,186,71.1,21,-.014,218,-2.50,210,106.2,191,108.7,238,-1.56,224
264,Gardner Webb,BSth,11-20,-8.09,103.1,237,111.2,265,69.0,82,-.011,210,-2.23,202,107.5,128,109.7,310,+0.05,169
265,265,Colgate,PL,14-19,-8.10,104.5,214,112.6,298,67.2,185,-.057,317,-5.79,301,103.5,300,109.2,277,+2.61,98
266,North Dakota,Sum,12-21,-8.22,107.7,153,115.9,336,69.0,80,-.020,238,-0.64,161,108.1,111,108.7,236,+2.67,96
267,267,Tulsa,Amer,13-20,-8.52,101.5,271,110.0,242,66.2,235,-.044,292,-1.33,176,106.6,168,107.9,198,-9.51,358
268,268,Monmouth,CAA,13-20,-8.56,103.9,224,112.5,293,67.1,194,+.028,108,-1.83,184,105.5,235,107.3,169,+2.28,107
269,269,Portland,WCC,12-20,-8.88,105.9,200,114.7,321,68.3,116,+.033,91,+1.53,116,107.7,117,106.1,136,-4.03,290
270,270,Marist,MAAC,20-10,-9.01,97.2,333,106.2,158,64.1,332,+.107,15,-10.26,361,100.7,360,110.9,358,-11.80,364
271,Ball St.,MAC,14-17,-9.07,103.6,231,112.7,299,66.4,225,-.056,316,-6.14,303,104.3,285,110.5,348,-6.59,339
272,272,Albany,AE,17-16,-9.13,103.2,235,112.4,288,67.5,163,+.018,131,-7.50,332,102.5,326,110.0,330,-4.70,306
273,Alabama St.,SWAC,20-15,-9.24,101.4,273,110.7,256,67.8,142,+.061,51,-8.81,355,100.7,359,109.5,298,+6.22,45
274,Austin Peay,ASun,14-19,-9.27,101.9,258,111.2,264,66.1,245,+.025,118,-1.92,188,107.8,114,109.8,314,+4.84,56
275,275,Navy,PL,15-19,-9.35,102.2,251,111.6,271,67.0,198,-.040,283,-8.19,346,101.8,336,110.0,328,-6.46,336
276,Eastern Michigan,MAC,16-16,-9.39,104.5,217,113.9,312,67.2,186,+.115,12,-4.08,275,105.4,237,109.5,295,-3.19,272
277,Stephen F.,Austin,Slnd,14-17,-9.46,95.1,348,104.6,126,67.4,171,+.055,60,-2.65,224,104.5,278,107.2,165,+1.06,136
278,Houston Christian,Slnd,12-20,-9.49,100.6,285,110.1,244,64.8,312,-.006,191,-2.60,220,104.7,269,107.3,170,+5.13,50
279,279,Idaho,BSky,14-19,-9.59,107.2,164,116.8,345,66.3,231,+.032,96,-2.79,229,105.3,242,108.1,208,+1.57,127
280,280,Columbia,Ivy,12-15,-9.60,106.3,187,115.9,339,70.7,30,-.017,226,-5.11,292,104.6,276,109.7,308,-10.70,361
281,Texas Southern,SWAC,15-17,-9.63,96.6,338,106.2,161,69.9,53,-.049,301,-7.30,326,101.8,337,109.1,265,+12.42,9
282,Old Dominion,SB,15-20,-10.11,100.2,292,110.3,250,66.0,249,+.033,92,-3.77,264,105.1,254,108.9,245,-2.64,251
283,283,Pacific,WCC,9-24,-10.26,101.5,272,111.7,277,66.5,223,-.033,269,+2.44,107,108.6,101,106.1,134,-0.20,180
284,284,Lehigh,PL,11-19,-10.36,100.6,286,110.9,262,67.3,179,-.097,355,-6.47,310,103.0,311,109.5,294,+3.31,85
285,Tarleton St.,WAC,12-20,-10.38,93.0,359,103.4,102,65.5,277,+.025,112,+1.44,120,106.4,181,105.0,101,+7.29,35
286,286,LIU,NEC,17-16,-10.40,94.9,352,105.3,140,64.8,309,-.003,186,-10.75,363,100.9,357,111.7,363,-2.66,253
287,Bethune Cookman,SWAC,17-16,-10.57,97.4,332,107.9,199,69.1,77,+.119,8,-5.61,299,102.8,319,108.4,225,+8.99,22
288,Bowling Green,MAC,14-18,-10.58,99.1,307,109.7,235,68.7,96,+.004,164,-6.26,306,104.4,283,110.7,354,-6.61,340
289,289,VMI,SC,15-19,-10.63,100.2,293,110.8,258,68.2,125,+.027,109,-2.61,222,106.4,182,109.0,259,-2.43,246
290,Western Michigan,MAC,12-20,-10.64,101.6,269,112.3,283,67.8,141,-.008,201,-3.41,251,105.7,223,109.1,264,+0.05,168
291,291,Lafayette,PL,13-20,-10.85,98.0,324,108.8,217,66.2,241,-.077,344,-8.44,348,102.9,316,111.3,362,-5.25,318
292,Tennessee Martin,OVC,14-19,-10.94,101.8,259,112.7,301,66.3,233,-.042,286,-7.36,329,101.6,345,108.9,252,+2.63,97
293,293,Penn,Ivy,8-19,-11.02,104.0,222,115.0,326,66.9,208,-.011,211,-1.49,179,105.9,205,107.4,175,-1.60,227
294,Southern Miss,SB,11-22,-11.02,97.8,327,108.8,216,70.8,28,-.007,199,-2.16,199,105.2,246,107.4,171,+0.45,154
295,Eastern Washington,BSky,10-22,-11.11,101.8,262,112.9,304,66.9,207,+.002,174,-1.25,175,107.1,146,108.3,220,+6.31,44
296,Southern Utah,WAC,12-19,-11.17,98.2,323,109.3,228,68.9,86,+.032,94,-1.34,178,104.7,268,106.1,131,+0.32,160
297,San Diego,WCC,6-27,-11.29,99.4,303,110.7,257,71.1,20,-.074,340,+0.93,132,107.5,122,106.6,147,-4.29,303
298,Saint Peter's,MAAC,12-16,-11.31,94.9,350,106.3,163,63.9,337,+.007,158,-7.04,319,103.4,301,110.4,347,-0.10,175
299,299,UMBC,AE,13-19,-11.48,106.5,182,118.0,355,70.4,38,-.072,336,-7.55,335,101.6,344,109.1,268,-5.58,326
300,Weber St.,BSky,12-22,-11.57,101.1,278,112.7,300,65.6,273,-.011,212,-2.52,213,106.3,187,108.8,244,+2.83,95
301,Utah Tech,WAC,7-26,-11.83,101.8,261,113.6,309,67.5,167,-.062,322,-0.07,153,105.1,252,105.2,106,+3.27,87
302,Charleston Southern,BSth,10-22,-12.00,99.7,299,111.7,275,67.3,178,+.040,80,-0.10,154,108.5,103,108.6,233,+4.40,63
303,Tennessee Tech,OVC,15-17,-12.26,100.9,281,113.1,306,67.7,146,+.045,77,-7.81,338,101.5,347,109.3,282,+0.73,145
304,Long Beach,St.,BW,7-25,-12.43,101.7,266,114.1,314,64.1,334,-.071,334,+0.67,136,106.7,164,106.0,129,+2.06,113
305,Boston University,PL,16-16,-12.46,98.9,311,111.4,270,63.1,352,+.061,49,-8.54,352,102.1,330,110.6,353,-5.89,329
306,Delaware St.,MEAC,16-14,-12.48,101.7,265,114.2,316,70.2,45,+.054,63,-8.51,351,102.7,324,111.2,360,-1.17,212
307,Loyola MD,PL,12-19,-12.51,100.4,289,112.9,305,66.6,216,-.030,265,-8.31,347,101.9,334,110.2,335,-5.31,320
308,Fairleigh Dickinson,NEC,13-20,-12.54,98.3,319,110.9,260,69.2,72,-.073,337,-7.96,341,102.0,332,110.0,324,+2.58,101
309,309,Denver,Sum,11-21,-12.63,98.7,317,111.3,268,66.4,224,+.005,163,-1.73,181,108.3,107,110.0,327,-0.57,196
310,Saint Francis,NEC,16-18,-12.74,99.7,300,112.4,290,66.9,204,+.060,52,-6.86,316,101.6,343,108.5,229,+8.06,32
311,Air Force,MWC,4-28,-12.79,98.8,312,111.6,274,64.4,325,-.085,348,+4.82,92,109.2,91,104.4,94,-4.03,291
312,312,Howard,MEAC,12-20,-13.17,103.7,228,116.9,346,70.0,52,-.000,178,-6.66,312,103.3,303,109.9,322,+2.04,115
313,313,Louisiana,SB,12-21,-13.18,97.9,326,111.1,263,66.2,236,+.085,26,-2.16,200,105.0,261,107.1,163,+1.58,126
314,314,Rider,MAAC,14-19,-13.21,101.7,264,115.0,325,64.8,310,+.074,35,-6.39,308,102.8,320,109.2,271,+0.15,165
315,IU Indy,Horz,10-22,-13.27,109.6,121,122.8,363,64.8,307,-.073,338,-3.51,256,104.6,272,108.1,215,-2.96,262
316,Eastern Illinois,OVC,12-19,-13.32,93.6,357,106.9,177,66.2,239,+.003,171,-5.67,300,103.0,312,108.6,235,+11.35,14
317,Florida A&M,SWAC,14-17,-13.70,101.6,270,115.3,330,67.2,189,+.063,46,-6.18,305,101.6,341,107.8,196,+19.71,1
318,Grambling St.,SWAC,12-22,-13.93,95.2,345,109.1,225,63.8,341,-.074,339,-8.17,345,101.4,351,109.5,299,+10.58,17
319,319,Binghamton,AE,15-17,-13.94,98.8,313,112.7,303,65.7,270,+.056,58,-7.60,336,102.7,322,110.3,341,-5.56,325
320,320,Niagara,MAAC,11-20,-14.02,101.2,274,115.2,329,65.1,296,-.022,247,-7.97,343,101.2,352,109.2,273,-5.22,315
321,Holy Cross,PL,13-19,-14.08,101.7,263,115.8,335,66.0,250,+.038,82,-6.47,309,102.6,325,109.0,261,-0.59,198
322,322,Stonehill,NEC,15-17,-14.25,100.8,282,115.1,327,65.0,300,+.031,98,-9.70,359,100.4,362,110.1,331,-3.00,264
323,North Carolina,Central,MEAC,14-19,-14.29,102.8,242,117.1,348,66.8,210,+.015,140,-6.84,315,103.5,299,110.3,342,-0.32,186
324,Alcorn St.,SWAC,11-21,-14.59,97.6,331,112.2,281,64.7,315,-.010,209,-4.84,290,103.3,302,108.2,216,+13.37,6
325,325,Army,PL,16-15,-14.67,99.7,298,114.4,319,67.6,157,+.132,5,-7.93,340,102.9,315,110.9,357,-5.01,311
326,326,Lindenwood,OVC,16-17,-14.72,94.1,354,108.9,218,69.6,60,+.108,14,-7.51,333,102.4,328,110.0,325,+4.77,59
327,Morehead St.,OVC,15-17,-14.74,97.7,328,112.4,292,64.0,335,+.079,31,-6.92,317,101.5,346,108.4,227,+5.08,51
328,Coastal Carolina,SB,10-22,-14.78,100.6,287,115.3,331,63.2,350,-.048,299,-4.83,289,103.9,292,108.7,237,-5.96,332
329,Oral Roberts,Sum,7-23,-14.96,102.8,240,117.8,354,67.3,182,-.006,194,+0.17,145,108.7,96,108.5,231,+7.35,34
330,East Texas,A&M,Slnd,5-26,-15.02,96.6,339,111.6,272,67.3,177,-.027,256,-1.20,172,105.7,222,106.9,154,+4.80,58
331,Morgan St.,MEAC,14-18,-15.38,101.7,267,117.1,347,70.4,36,+.012,146,-8.83,356,102.3,329,111.1,359,-3.91,287
332,Stony Brook,CAA,8-24,-15.72,101.9,257,117.6,351,64.4,326,-.017,227,-3.19,241,104.8,266,108.0,202,-1.02,204
333,333,Fairfield,MAAC,12-20,-15.86,98.2,322,114.1,313,66.0,247,+.070,40,-6.36,307,102.5,327,108.9,246,-3.06,269
334,Green Bay,Horz,4-28,-16.04,100.7,283,116.8,344,68.9,85,-.050,307,-1.23,174,106.5,171,107.8,195,+3.63,81
335,North Carolina,A&T,CAA,7-25,-16.37,97.0,334,113.4,308,69.1,78,+.000,176,-3.04,236,105.0,259,108.0,205,-1.28,217
336,Southern Indiana,OVC,10-20,-16.49,98.3,321,114.8,322,67.0,199,-.027,258,-7.83,339,101.8,339,109.6,304,-2.31,242
337,Detroit Mercy,Horz,8-24,-16.94,95.2,347,112.1,280,67.0,197,+.028,106,-2.04,192,106.8,156,108.9,248,+1.29,135
338,Western Carolina,SC,8-22,-17.16,95.2,346,112.4,289,70.4,39,+.011,150,-0.02,151,107.5,130,107.5,176,+7.28,36
339,339,Buffalo,MAC,9-22,-17.33,96.4,340,113.8,311,70.7,29,+.028,104,-2.93,231,106.0,203,108.9,251,+0.52,151
340,USC Upstate,BSth,6-26,-17.48,98.4,318,115.9,338,72.7,5,-.021,241,-0.76,162,107.3,136,108.1,210,+2.60,99
341,341,Bellarmine,ASun,5-26,-17.68,103.8,225,121.5,360,66.2,237,-.109,359,-3.83,268,105.3,244,109.1,266,-1.23,215
342,342,Mercyhurst,NEC,15-16,-17.84,98.8,314,116.6,342,64.7,314,+.099,18,-9.26,358,100.6,361,109.9,318,-1.57,225
343,Northern Illinois,MAC,6-25,-17.86,94.5,353,112.3,287,68.9,88,-.091,352,-3.23,242,105.8,215,109.0,260,-0.58,197
344,Sacramento St.,BSky,7-25,-18.06,95.3,344,113.3,307,65.5,278,-.020,239,-3.72,261,105.6,228,109.3,281,-1.11,207
345,Louisiana Monroe,SB,7-25,-18.10,96.2,341,114.3,318,67.7,149,-.028,260,-3.40,250,104.6,274,108.0,203,-3.67,282
346,346,Wagner,NEC,14-16,-18.11,92.2,360,110.3,249,60.3,363,+.061,50,-10.37,362,99.9,364,110.3,338,-2.03,234
347,Western Illinois,OVC,12-19,-18.17,99.1,309,117.2,349,64.3,328,+.037,84,-7.99,344,101.4,350,109.4,288,-2.51,248
348,Central Arkansas,ASun,9-24,-18.22,97.7,330,115.9,337,66.4,228,+.036,87,-2.62,223,106.4,180,109.0,263,+2.20,109
349,New Orleans,Slnd,4-27,-18.27,99.4,302,117.7,352,69.2,71,-.016,224,+1.01,128,106.8,160,105.8,124,+10.71,16
350,West Georgia,ASun,6-25,-18.34,96.8,336,115.2,328,68.0,133,+.012,144,-2.35,205,106.6,166,109.0,256,+2.04,116
351,Cal St.,Fullerton,BW,6-26,-18.72,93.7,356,112.4,291,68.1,128,-.020,240,+1.81,114,107.4,131,105.6,120,+4.75,60
352,352,Stetson,ASun,8-24,-19.31,99.4,301,118.7,358,67.6,153,-.015,221,-4.38,280,105.8,214,110.2,333,+0.20,163
353,353,NJIT,AE,6-25,-20.37,93.2,358,113.6,310,66.5,219,-.054,315,-6.60,311,103.0,309,109.6,305,-4.07,292
354,Le Moyne,NEC,9-23,-20.72,101.2,276,121.9,361,68.6,107,+.004,165,-7.35,327,101.6,342,109.0,255,+0.24,161
355,New Hampshire,AE,8-24,-21.65,93.8,355,115.4,332,67.4,175,+.019,130,-6.08,302,103.7,296,109.8,313,-3.45,278
356,The Citadel,SC,5-25,-21.85,94.9,351,116.8,343,64.6,317,-.134,363,-3.34,247,105.6,225,109.0,254,-7.49,345
357,Prairie View,A&M,SWAC,5-27,-22.13,95.6,343,117.7,353,70.2,48,-.062,324,-5.46,298,103.0,313,108.4,226,+11.05,15
358,Maryland Eastern,Shore,MEAC,6-25,-22.61,95.8,342,118.4,357,65.6,274,-.113,360,-3.02,233,105.4,241,108.4,222,+9.87,20
359,359,Canisius,MAAC,3-28,-22.91,99.1,308,122.0,362,66.2,240,-.078,345,-4.78,287,102.9,317,107.7,191,+3.75,77
360,Alabama A&M,SWAC,10-22,-23.51,92.1,361,115.6,334,71.0,22,-.022,246,-9.72,360,101.1,355,110.8,356,+1.80,120
361,Coppin St.,MEAC,6-24,-24.29,87.4,363,111.7,276,67.7,147,+.033,93,-4.31,279,105.3,245,109.6,301,+4.32,64
362,Chicago St.,NEC,4-28,-24.37,91.8,362,116.2,341,68.3,118,-.024,251,-3.29,245,104.3,286,107.6,186,+8.46,29
363,Arkansas Pine,Bluff,SWAC,6-25,-26.08,95.1,349,121.2,359,71.4,17,-.074,342,-8.63,354,101.0,356,109.6,302,+7.04,41
364,Mississippi Valley,St.,SWAC,3-28,-42.22,82.6,364,124.8,364,64.8,311,-.016,222,-3.51,258,103.9,294,107.4,172,+18.48,2
